epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,177.802,1.19765,0.4913,0.00476,0.90964,0.90553,0.94653,0.6149,1.2773,0.47275,0.00663,0.00990476,0.00330159,0.00990476,0.00330159,0.00990476,0.00330159,0.00990476,0.00330159
2,321.927,1.20954,0.51712,0.00474,0.91547,0.89087,0.94266,0.60801,1.2901,0.47891,0.00668,0.0198062,0.00660208,0.0198062,0.00660208,0.0198062,0.00660208,0.0198062,0.00660208
3,462.683,1.21976,0.51607,0.00485,0.92199,0.89114,0.94992,0.6144,1.27172,0.47692,0.00663,0.0296087,0.00986957,0.0296087,0.00986957,0.0296087,0.00986957,0.0296087,0.00986957
4,604.275,1.22216,0.5342,0.00466,0.91296,0.88103,0.94377,0.60464,1.29808,0.49284,0.00676,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,745.678,1.20271,0.51933,0.00466,0.91661,0.88692,0.94793,0.60632,1.30086,0.49051,0.007,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,886.789,1.22004,0.51852,0.00472,0.89309,0.88823,0.93983,0.60197,1.29227,0.51527,0.00695,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,1027.87,1.20963,0.51959,0.00468,0.90625,0.87963,0.94386,0.6018,1.30444,0.51113,0.00692,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,1168.52,1.21001,0.51917,0.00471,0.89902,0.89499,0.94157,0.6099,1.30904,0.49574,0.00722,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,1309.72,1.21985,0.51246,0.00477,0.88876,0.89299,0.94053,0.60894,1.28286,0.50323,0.00677,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,1451.23,1.21054,0.50313,0.00468,0.89954,0.86464,0.92362,0.57976,1.32653,0.58747,0.00725,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,1591.75,1.21945,0.53651,0.0048,0.88956,0.8664,0.92753,0.59281,1.31368,0.5561,0.00739,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,1732.91,1.19645,0.51659,0.00476,0.90107,0.88161,0.935,0.6011,1.30885,0.51927,0.00706,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,1873.5,1.20753,0.51347,0.00466,0.89071,0.884,0.93537,0.59757,1.28607,0.51204,0.00686,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,2015.3,1.18611,0.5042,0.00467,0.89345,0.88095,0.93716,0.59231,1.29365,0.53581,0.00697,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,2155.02,1.21068,0.76768,0.00476,0.90621,0.88829,0.94244,0.60687,1.27883,0.50689,0.00681,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,2295.76,1.19253,0.49855,0.0047,0.89581,0.90415,0.94033,0.60334,1.30257,0.50688,0.00687,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,2437.46,1.19984,0.50632,0.00464,0.92323,0.87698,0.94258,0.60512,1.29417,0.49971,0.00709,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,2579.39,1.21201,0.50974,0.0048,0.87961,0.90842,0.94241,0.60964,1.28143,0.49951,0.00679,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,2720.43,1.18562,0.50606,0.00458,0.90167,0.90939,0.94955,0.61515,1.27851,0.47556,0.00675,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,2861.59,1.19986,0.4974,0.00476,0.91063,0.90278,0.94709,0.60825,1.27968,0.48784,0.00684,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,3002.74,1.2011,0.51792,0.00458,0.89999,0.89874,0.94507,0.61238,1.29539,0.48711,0.00681,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,3143.42,1.2038,0.51398,0.00463,0.89234,0.8836,0.93546,0.593,1.30033,0.52026,0.00676,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,3283.91,1.16122,0.50559,0.00454,0.84076,0.85903,0.90541,0.56902,1.33491,0.62073,0.00728,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
