epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,140.867,1.6779,5.61304,0.00859,0.75211,0.66761,0.74192,0.36425,1.67678,1.24251,0.01161,0.00987179,0.0032906,0.00987179,0.0032906,0.00987179,0.0032906,0.00987179,0.0032906
2,246.409,1.60338,0.89352,0.00791,0.77144,0.76177,0.78832,0.39696,1.70822,1.07332,0.01035,0.0198062,0.00660207,0.0198062,0.00660207,0.0198062,0.00660207,0.0198062,0.00660207
3,351.237,1.6638,0.94502,0.00844,0.57618,0.55172,0.54826,0.2388,2.05943,2.12336,0.01488,0.0296746,0.00989155,0.0296746,0.00989155,0.0296746,0.00989155,0.0296746,0.00989155
4,456.28,1.6813,1.00749,0.00907,0.53952,0.72484,0.67986,0.34182,1.76305,4.23593,0.01221,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,561.819,1.66658,0.93629,0.00871,0.71097,0.62806,0.65141,0.31252,1.91428,1.65636,0.01297,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,666.984,1.64381,0.92249,0.00846,0.75755,0.75706,0.81061,0.39703,1.77595,1.16185,0.01286,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,772.308,1.61635,0.86183,0.00847,0.78452,0.69252,0.77696,0.42923,1.67068,1.16457,0.01004,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,877.747,1.58099,0.84626,0.00799,0.67594,0.7533,0.7687,0.43561,1.60395,1.86042,0.0099,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,983.07,1.56459,0.82261,0.0078,0.84086,0.81638,0.87299,0.47839,1.66397,0.95724,0.00963,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,1088.11,1.56773,0.825,0.00753,0.85227,0.85286,0.91211,0.51473,1.56284,0.91528,0.00941,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1193.89,1.56467,0.78898,0.0073,0.77413,0.78422,0.84322,0.42775,1.69646,1.19781,0.01038,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1298.93,1.56628,0.79832,0.00766,0.78065,0.78531,0.81623,0.41475,1.73644,1.10617,0.00983,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1404.23,1.55554,0.76121,0.00727,0.84219,0.83992,0.90088,0.51529,1.55997,0.90613,0.0088,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1509.81,1.53821,0.71637,0.00705,0.84704,0.87604,0.92295,0.53425,1.52613,0.69665,0.00845,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1614.69,1.51913,0.6836,0.00722,0.86952,0.85405,0.91506,0.51067,1.57508,0.72518,0.00869,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1719.97,1.53701,0.70203,0.00737,0.80335,0.85593,0.88624,0.49701,1.54285,1.14539,0.00814,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,1825.04,1.53002,0.70329,0.00716,0.86615,0.87743,0.92241,0.53144,1.54354,0.67646,0.00948,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,1929.98,1.52367,0.72602,0.00703,0.90301,0.84463,0.92853,0.52707,1.55839,0.77317,0.00891,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,2035.69,1.50307,0.6545,0.00698,0.85989,0.87476,0.92097,0.54441,1.52727,0.69766,0.00817,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,2140.24,1.46229,0.65728,0.00684,0.86652,0.87006,0.92497,0.53289,1.52172,0.73597,0.00873,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,2244.93,1.47062,0.65905,0.00685,0.79023,0.85486,0.86558,0.4984,1.5329,0.73004,0.00838,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,2350.05,1.50068,0.63609,0.00704,0.8347,0.87006,0.89863,0.50794,1.61274,0.75019,0.00868,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
